What are the maximum cut-offs for POSt going to be posted? | As of right now, we are not sure when the maximums will be set due to multiple factors (e.g. COVID, new administration, etc.) (Nov. 2020)
When are the cut-offs for POSt going to be posted? | The official cut-offs themselves are projected to be set in later May 2020. (Nov. 2020)
When is reading week? | Fall 2020: October 13th, 2020 - October 16th, 2020. Winter 2021: February 16th, 2021 - February 19th, 2021.
How many first year courses are we allowed to take? | Prior to September 2020, 6.0 credits for 100-level courses would count towards your degree. But currently, you can check how many 100-level courses count towards your degree and other specifications through the Degree Explorer tool accessible through ACORN under "Academics" > "Planning Tools".
